valence,arousal,text
positive,subdued,I am happy for Philip being at GoogleIO today
positive,excited,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???
positive,excited,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK
negative,excited,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!
positive,excited,watching Night at The Museum . Lmao
positive,excited,i loved night at the museum!!!
positive,subdued,just got back from the movies.  went to see the new night at the museum with rachel.  it was good
positive,excited,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good
positive,excited,no watching The Night At The Museum. Getting Really Good
positive,excited,"Night at the Museum, Wolverine and junk food - perfect monday!"
positive,excited,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!
negative,excited,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL
negative,subdued,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable
negative,excited,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.
negative,excited,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha
negative,excited,Time Warner cable is down again 3rd time since Memorial Day bummer!
negative,subdued,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection."
negative,excited,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner
negative,excited,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!
negative,subdued,time warner has the worse customer service ever. I will never use them again
negative,excited,Time warner is the devil. Worst possible time for the Internet to go out.
negative,excited,Fuck no internet damn time warner!
negative,excited,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.
negative,excited,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.
negative,excited,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)
negative,excited,Time Warner's HD line up is crap.
negative,excited,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!
negative,excited,Time Warner Cable slogan: Where calling it a day at 2pm Happens.
negative,subdued,Recovering from surgery..wishing @julesrenner was here :(
positive,excited,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!"
negative,excited,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!"
negative,subdued,@kirstiealley my dentist is great but she's expensive...=(
negative,subdued,is studing math ;) tomorrow exam and dentist :)
negative,subdued,Going to the dentist later.:|
negative,excited,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?
negative,excited,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?
positive,excited,Safeway is very rock n roll tonight
negative,excited,The safeway bathroom still smells like ass!
negative,excited,"At safeway on elkhorn, they move like they're dead!"
positive,excited,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.
negative,excited,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic
positive,excited,is lovin his Nike  already and that's only from running on the spot in his bedroom
positive,excited,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.
positive,excited,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style."
positive,excited,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet"
positive,subdued,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune"
positive,excited,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*"
positive,excited,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2
negative,excited,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.
negative,excited,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!
negative,subdued,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)
negative,excited,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.
negative,excited,"wth..i have never seen a line this loooong at time warner before, ugh."
negative,excited,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon
negative,excited,Naive Bayes using EM for Text Classification. Really Frustrating...
positive,excited,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.
negative,excited,"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags"
negative,excited,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.
negative,excited,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU
negative,excited,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal
negative,excited,"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)"
negative,excited,pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299
negative,excited,Safari 4 is fast :) Even on my shitty AT&amp;T tethering.
negative,excited,@ims What is AT&amp;T fucking up?
negative,excited,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!
negative,excited,"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T."
negative,subdued,"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8"
negative,excited,"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye"
positive,excited,@ArunBasilLal I love Google Translator too ! :D Good day mate !
positive,excited,My Kindle2 came and I LOVE it! :)
positive,excited,"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!"
negative,excited,The real AIG scandal / http://bit.ly/b82Px
positive,subdued,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.
positive,excited,"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech.."
positive,excited,"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!"
positive,excited,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM
positive,subdued,"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7"
positive,subdued,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu
positive,excited,Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;)
negative,excited,LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750
positive,excited,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals
positive,excited,"@khalid0456 No, Lebron is the best"
positive,excited,@the_real_usher LeBron is cool.  I like his personality...he has good character.
positive,excited,Watching Lebron highlights. Damn that niggas good
positive,excited,@Lou911 Lebron is MURDERING shit.
positive,excited,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.
positive,excited,@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.
positive,excited,KOBE IS GOOD BT LEBRON HAS MY VOTE
positive,excited,"@asherroth World Cup 2010 Access?? Damn, that's a good look!"
positive,excited,Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI
negative,subdued,I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)
positive,subdued,"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election."
positive,excited,"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday."
positive,excited,@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF
positive,excited,"@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!"
positive,subdued,The Times of India: The wonder that is India's election. http://bit.ly/p7u1H
positive,subdued,http://is.gd/ArUJ Good video from Google on using search options.
negative,excited,@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.
positive,subdued,Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH
positive,subdued,Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl
positive,excited,SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!
positive,subdued,"RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV"
positive,excited,@dannygokey I love you DANNY GOKEY!! :)
negative,excited,so tired. i didn't sleep well at all last night.
negative,subdued,Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.
negative,subdued,bonjour San Francisco. My back hurts from last night..
positive,excited,With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!
positive,subdued,Went to see the Star Trek movie last night.  Very satisfying.
positive,excited,"I can't wait, going to see star trek tonight!!"
positive,excited,Star Trek was as good as everyone said!!
positive,excited,am loving new malcolm gladwell book - outliers
positive,subdued,I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.
negative,excited,Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot
negative,excited,"@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit"
positive,excited,RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell.
positive,subdued,I seriously underestimated Malcolm Gladwell.  I want to meet this dude.
negative,excited,i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do
negative,excited,The day I never have to deal with Comcast again will rank as one of the best days of my life.
negative,excited,@Dommm did comcast fail again??
negative,excited,"Now I can see why Dave Winer screams about lack of Twitter API, its limitations and access throttles!"
negative,excited,Arg. Twitter API is making me crazy.
positive,excited,I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/
negative,excited,"#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!"
positive,subdued,New nike muppet commercials are pretty cute. Why do we live together again?
negative,excited,@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :(
positive,excited,@tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ...
negative,excited,"arhh, It's weka bug. = ="" and I spent almost two hours to find that out. crappy me"
positive,subdued,"@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more"
positive,excited,@jonduenas @robynlyn just got us a 50D for the office. :D
positive,excited,Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!
positive,excited,Just got my new toy. Canon 50D. Love love love it!
positive,excited,Learning about lambda calculus :)
positive,excited,@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!
positive,excited,@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)
positive,excited,Will the Lakers kick the Nuggets ass tonight?
negative,excited,Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH
negative,excited,Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379
negative,excited,Listening to Obama... Friggin North Korea...
negative,excited,@foxnews Pelosi should stay in China and never come back.
negative,excited,Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this
negative,excited,ugh. the amount of times these stupid insects have bitten me. Grr..
positive,excited,Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p
negative,excited,Just got barraged by a horde of insects hungry for my kitchen light. So scary.
positive,excited,Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;)
positive,excited,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]
positive,excited,Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.
positive,excited,Could go for a lot of McDonalds. i mean A LOT.
positive,excited,my exam went good. @HelloLeonie: your prayers worked (:
positive,excited,"Only one exam left, and i am so happy for it :D"
negative,subdued,Math review. Im going to fail the exam.
negative,excited,Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly
negative,excited,obviously not siding with Cheney here: http://bit.ly/19j2d
positive,excited,Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt
positive,excited,@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV
positive,excited,RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign
positive,subdued,I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them
positive,excited,"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it."
positive,excited,Wow everyone at the Google I/O conference got free G2's with a month of unlimited service
positive,excited,@vkerkez dood I got a free google android phone at the I/O conference. The G2!
positive,excited,"@Orli the G2 is amazing btw, a HUGE improvement over the G1"
positive,excited,"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio"
positive,excited,@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!
positive,excited,#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.
positive,excited,"Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/"
negative,excited,saw night at the museum out of sheer desperation. who is funding these movies?
positive,excited,Night At The Museum 2? Pretty furkin good.
positive,excited,Watching Night at the Museum - giggling.
positive,excited,just watched night at the museum 2! so stinkin cute!
positive,excited,"So, Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up."
positive,excited,saw the new Night at the Museum and i loved it. Next is to go see UP in 3D
negative,excited,It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?
negative,excited,"As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al"
negative,excited,@Pittstock $GM good riddance.  sad though.
negative,excited,"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8"
negative,excited,Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala
negative,excited,#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the fucking UAW. ..   http://buzzup.com/4ueb
negative,excited,"Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good."
negative,excited,"The more I hear about this GM thing the more angry I get. Billions wasted, more bullshit. All for something like 40k employees and all the.."
negative,excited,@QuantTrader i own a GM car and it is junk as far as quality compared to a honda
negative,subdued,sad day...bankrupt GM
negative,excited,is upset about the whole GM thing. life as i know it is so screwed up
negative,excited,whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs
negative,excited,#WFTB Joining a bit late. My connection was down (boo time warner)
negative,subdued,Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.
negative,excited,i am furious with time warner and their phone promotions!
negative,excited,Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner
negative,excited,could time-warner cable suck more?  NO.
negative,excited,Pissed at Time Warner for causin me to have slow internet problems
negative,excited,"@sportsguy33 Ummm, having some Time Warner problems?"
negative,excited,You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j
negative,excited,"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside."
negative,excited,"RT @sportsguy33: New Time Warner slogan: ""Time Warner, where we make you long for the days before cable."""
negative,excited,"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/"
negative,excited,@sportsguy33 Time Warner = epic fail
negative,excited,I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM.
negative,excited,"GM files Bankruptcy, not a good sign..."
positive,subdued,yankees won mets lost. its a good day.
positive,excited,My dentist appt today was actually quite enjoyable.
negative,excited,@kirstiealley I hate going to the dentist.. !!!
negative,excited,i hate the dentist....who invented them anyways?
negative,excited,this dentist's office is cold :/
positive,excited,Just applied at Safeway!(: Yeeeee!
negative,excited,@ Safeway. Place is a nightmare right now. Bumming.
negative,excited,"HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt;"
positive,excited,Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes
positive,excited,@evelynbyrne have you tried Nike  ? V. addictive.
positive,excited,The Nike Training Club (beta) iPhone app looks very interesting.
negative,excited,argghhhh why won't  my jquery appear in safari bad safari !!!
positive,excited,"I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js"
positive,subdued,"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga"
positive,subdued,"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio"
positive,subdued,"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it."
negative,excited,"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html"
positive,excited,I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis
negative,excited,I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.
positive,excited,I love my Kindle2. No more stacks of books to trip over on the way to the loo.
negative,excited,"Although today's keynote rocked, for every great announcement, AT&amp;T shit on us just a little bit more."
negative,excited,"@sheridanmarfil - its not so much my obsession with cell phones, but the iphone!  i'm a slave to at&amp;t forever because of it. :)"
negative,excited,Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter
negative,excited,"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass"
positive,excited,GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave
negative,subdued,looks like summize has gone down. too many tweets from WWDC perhaps?
positive,excited,"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen"
negative,subdued,Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T
positive,excited,@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.
positive,subdued,"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?"
positive,excited,"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha."
negative,excited,"dearest @google, you rich bastards! the VISA card you sent me doesn't work. why screw a little guy like me?"
positive,excited,Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!
positive,excited,Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.
positive,excited,can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please.
positive,excited,"My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today."
negative,subdued,Fighting with LaTex. Again...
negative,excited,@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil
negative,excited,"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more."
negative,excited,Shit's hitting the fan in Iran...craziness indeed #iranelection
negative,excited,Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop.
positive,excited,getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.
positive,excited,i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!
negative,subdued,"I just created my first LaTeX file from scratch. That didn't work out very well. (See @amandabittner , it's a great time waster)"
positive,excited,using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!
positive,excited,"After using LaTeX a lot, any other typeset mathematics just looks hideous."
negative,excited,"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now."
positive,excited,Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX.
negative,subdued,"Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect"
negative,excited,Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad...
negative,subdued,@reverieBR I know how you feel.  
positive,excited,@reverieBR It's really all in good fun anyway...good word of mouth for The Tenners' books!!!  
positive,subdued,"@reverieBR LoL, sounds like a deal, you need your sleep "
negative,subdued,@reverieBR sorry your back hurts 
negative,subdued,@reverieBR That sucks. I hope you find a new job soon 
negative,subdued,@reverieBR The image isn't showing up for me. 
positive,subdued,@reverielarke A lot more booing is gonna roll down those ear canals. 
positive,excited,"@reverielarke Good morning, Brenda! "
negative,excited,"@reverz Tomorrow is going to suck  or, excuse me, today."
negative,excited,@revfry his fam would disown us if we weren't there!   Both of us really wanted to come to the bbq  but got our weekends mixed up -
negative,subdued,"@revfry we are still over at my parents house, waiting for the birthday dinner to start. We won't be there in time "
negative,subdued,@reviewerx i'm home &amp; online but i don't see you anywhere 
positive,excited,@reviewerx wow ur an amazing friend!  that was sweet of you
positive,subdued,@revii  And what countries will you travel through?
positive,excited,@RevImhotep Allo mate! DoomFerret put me onto your twitter id 
negative,excited,"@TiffanyECook don't cry  we will visit each other &amp; just think, u will be up here in July and I wanna come down in August! See no biggie!"
positive,excited,"@TiffanyGiardina  tifanny i love you , you're amazing ..i love you and your song "
positive,excited,@TiffanyGiardina alexis has that! hahah. HAVE FUNNN!  i'll be listening to radio disneyy on thursdayy!
negative,excited,@TiffanyGiardina heey! i wish i was going to the show tomorroww  i really wanna meet you tiffany! you're amazingg!
positive,excited,@TiffanyGiardina hey i just wanted to say that you are SO awesome and i really look up to you and how down to earth you are 
positive,excited,@TiffanyGiardina I am!  Are you coming to the shows Mitchel is doing in Toronto??  I'd love to meet you!
positive,excited,@TiffanyGiardina Omg Omg Ik Tiffany! See You There Whoooo  Mrs.CJBaran&lt;3
negative,subdued,@TiffanyHempill  I can't believe I missed all the fun 
positive,excited,@TiffanyHoran loved their red head buzzer routine 
negative,excited,@tiffanyjenae I'm gonna miss Lethal Whoopin  Have fun tonight &amp; if ya get a chance tell her Eddie from Austin is gonna miss her. Go Dollz!
positive,subdued,@tiffanykristen Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
positive,excited,@tiffanyld http://twitpic.com/444o1 - omg that is way too adorable....ummm brothers?!  haha 
negative,excited,"@TiffanyLD i feel you, only my eyes are fine it's my head that's killing me  feels like it's inflated from the stupid tree pollen"
negative,excited,@TiffanyLD I heart string cheese. I had 2 today 
positive,excited,"@TiffanyLD i like watching your makeup tutorials on youtube, they are great and so helpful. Greetings from Berlin! "
negative,excited,"@TiffanyLD im so sorry about your friend tiffany.may she rest in peace. today i attended my first funeral, im only 19. "
positive,subdued,@TiffanyLD im sorry  JK Paramore are decent live.
positive,excited,@TiffanyLD LUSH! definitely  love your vids btw.
negative,subdued,@tiffanymarie_x3 pity that one only works on Android phones  But I got a Xperia X1 from Sony with WM 
negative,excited,@tiffanymarie_x3 Remember when we started using bicycles instead of horses? WAIT... you're too young!   #iremember #oldschool
positive,subdued,@TiffanyMCP  hey!!.. heard about all the endorsements you have been unearthing..  any chance i can get copies to frame up ??
positive,excited,"@tiffanymlowe Hell yeah, what about He-Man and She-ra Princess of Power!!! Holly Hobbie and Raggedy Ann&amp;Andy.... SOCK MONKEYS (grey ones) "
negative,excited,@TiffanyNE4LIFE UH OH WHO'S SICK? 
negative,excited,@TiffanyNHouston I wish it WAS my cell! LOL I miss my blackberry! No cell here. 
negative,excited,"@TiffanyNicole25 YAY!!!! I can't wait...and no, Im probably the only lame that missed the Awards lastnight "
negative,subdued,@Tiffanypjafan awwee ok   what ya doing now?
positive,excited,@Tiffanypjafan no problem  if you need anything else just let me know!
positive,excited,@TIFFANYPOLLARD hey hey! miss your show being on tv over in the uk! please let there be an i love new york 3!  much love x
positive,excited,@TIFFANYPOLLARD Whats up Baby?  So happy for you with the new Show goin on right on. ooh girl but check this out http://tinyurl.com/avle2e
positive,excited,@TiffanyPR I know right! It's hard to explain it to people who don't Tweet...that's when I point to the relationships I've made! 
